1Jan 2Jan 3Jan 4Jan 5Jan 6Jan 7Jan 8Jan 9Jan 10Jan 11Jan 12Jan 13Jan 14Jan 15Jan 16Jan 17Jan 18Jan 19Jan 20Jan 21Jan 22Jan 23Jan 24Jan 25Jan 26Jan 27Jan 28Jan 29Jan 30Jan 31Jan 
1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 9 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 9 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 9 1 1 1 1 
1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 2 9 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 2 9 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 9 1 1 1 1 
1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 9 1 1 1 1 
1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 1 
1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 1 
1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 9 1 1 1 1 
1 1 1 1 2 2 1 1 1 2 1 2 2 1 1 2 1 1 1 1 1 1 1 1 1 3 9 1 1 1 1 
1 1 1 1 18 3 1 1 1 1 2 1 1 1 1 2 1 2 1 1 1 1 1 1 1 2 9 1 1 1 1 
1 1 1 1 9 2 1 1 1 2 1 2 2 1 1 3 1 2 3 2 1 1 1 1 1 1 9 1 1 1 1 
1 1 1 1 9 2 1 1 3 1 1 1 2 1 1 1 2 1 3 1 1 1 1 2 1 1 9 1 1 1 1 
1 1 1 1 10 2 1 1 2 2 2 1 2 1 1 1 3 1 1 1 1 1 1 2 2 1 9 1 1 1 1 
1 1 1 1 11 1 1 1 2 2 2 1 2 1 1 3 2 2 2 1 1 1 2 1 5 1 9 1 1 1 1 
1 1 1 2 9 1 1 1 2 3 2 2 2 1 1 1 2 2 2 1 1 1 2 1 2 2 9 1 1 2 1 
1 1 1 2 11 2 1 1 2 2 2 1 2 1 1 1 2 2 1 1 1 1 1 1 3 1 9 1 1 2 1 
1 1 1 2 7 2 1 1 1 1 2 2 1 1 1 1 2 2 1 1 1 1 1 1 6 1 9 1 1 2 1 
1 1 1 2 8 1 1 1 2 2 1 1 1 1 1 1 2 1 1 2 1 1 2 1 2 1 9 1 1 2 2 
1 1 1 2 9 1 1 1 2 2 2 1 1 1 1 1 1 1 1 3 1 2 1 2 2 1 9 1 1 2 2 
1 1 1 2 7 1 1 1 2 2 4 1 2 1 1 1 2 1 2 1 1 1 2 2 2 1 9 1 1 3 2 
1 1 1 2 8 1 1 1 2 2 2 1 1 1 1 1 1 1 1 1 1 1 2 2 8 1 9 1 1 2 2 
1 1 1 2 8 1 1 1 2 1 2 1 1 1 1 1 1 2 2 1 1 1 2 2 4 2 9 1 1 2 1 
1 1 1 1 9 1 1 1 1 2 2 2 2 1 1 2 1 2 2 1 1 1 1 2 2 2 9 1 1 1 1 
1 1 1 1 6 1 1 1 2 2 2 2 2 1 1 2 1 1 2 1 1 1 1 6 1 3 9 1 1 2 1 
1 1 1 2 11 1 1 1 2 2 1 1 2 1 1 2 1 1 3 1 1 1 1 9 1 1 9 1 1 2 1 
1 1 1 2 7 1 1 1 2 2 2 1 1 1 1 2 2 2 1 1 1 1 2 9 2 1 9 1 1 2 1 
1 1 1 2 7 2 1 1 2 2 1 1 1 1 1 1 1 2 1 1 1 1 1 10 2 1 9 1 1 2 1 
1 1 1 2 7 2 1 1 2 2 2 1 1 1 1 3 1 2 1 1 1 1 1 9 3 2 9 1 1 1 1 
1 1 1 2 9 2 1 1 3 1 1 1 2 1 1 3 1 2 2 1 1 1 1 9 2 2 9 1 1 2 1 
1 1 1 2 12 2 1 1 2 2 1 1 1 1 1 3 1 2 1 1 1 1 2 9 2 1 9 1 1 1 1 
1 1 1 2 10 2 1 1 2 2 1 2 1 1 1 1 2 2 1 1 1 1 1 10 2 1 9 1 1 1 1 
1 1 1 2 12 2 1 1 2 2 2 3 2 1 1 2 1 2 2 1 1 1 2 10 2 2 9 1 1 2 2 
1 1 1 2 8 1 1 1 2 3 2 2 1 1 1 1 2 2 1 1 1 1 2 9 2 1 10 1 1 2 2 
1 1 1 1 7 2 1 1 2 3 2 3 1 1 1 1 1 2 1 1 1 1 2 9 1 1 9 1 1 2 2 
1 1 1 1 9 1 1 1 2 2 2 5 1 1 1 1 2 2 1 1 1 1 2 9 1 1 9 1 1 2 1 
1 1 1 2 8 1 1 1 2 3 2 2 1 1 1 1 2 1 1 1 1 1 1 9 2 1 11 1 1 2 2 
1 1 1 2 10 2 1 1 2 3 2 2 2 1 1 1 1 1 1 1 1 1 2 9 1 1 12 1 1 2 1 
